,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 434.5)","(436.5, 624.5)","(625.5, 762.5)","(763.5, 1170.5)","(1171.5, 1321.5)","(1323.5, 1502.5)","(1503.5, 2044.5)","(2045.5, 2345.5)"
"Time length, sec",424.0,188.0,137.0,407.0,150.0,179.0,541.0,300.0
Number of epochs,370,161,115,348,121,160,471,271
