,0,1,2,3,4,5,6,7,8
"Start-end time, sec","(5.5, 215.5)","(216.5, 259.5)","(260.5, 364.5)","(365.5, 434.5)","(437.5, 523.5)","(524.5, 763.5)","(764.5, 1134.5)","(1135.5, 1692.5)","(1693.5, 2044.5)"
"Time length, sec",210.0,43.0,104.0,69.0,86.0,239.0,370.0,557.0,351.0
Number of epochs,203,41,98,66,85,225,350,518,325
