,St_len_min,K_nb_max,N_cl_max,N_stages,Cl_cen,St_edges,Ward_dist,Cen_dist,Silh,Cal-Har,Dav-Bold,Avg-Silh,Avg-Cal-Har,Avg-Dav-Bold
1,0,35,10,3,Mode,"[0, 282, 560, 1046]",42309.5308646234,16.400247023164887,0.07268304321795761,114.99031229053053,2.7221273221801314,0.12593263097509852,108.7790182677412,2.4382607528003746
48,20,40,15,4,Median,"[0, 168, 560, 857, 1046]",33305.32091970964,15.081110474617313,0.07087340513457815,89.77775028999604,3.5608135944772603,0.12789008594012316,86.28537376657978,3.1202498510477237
99,40,50,10,5,Median,"[0, 178, 560, 682, 857, 1046]",45197.55279370991,21.835043785661192,0.0841805305137475,105.59309779166138,2.587066791312556,0.21137937509399687,121.1280111282477,1.797943647895178
7,0,35,20,6,Mode,"[0, 39, 282, 560, 682, 857, 1046]",34636.07587891277,20.806800648361918,0.05802051330449197,91.36730321336628,2.434030453262235,0.18906071929968343,94.17488242721427,1.7961968756154192
16,0,40,20,7,Mode,"[0, 39, 282, 560, 682, 857, 976, 1046]",33801.638551289056,21.72700241169592,0.027378921088823276,87.8623495250466,3.0860883467881117,0.19767151418881224,90.6946090470874,1.6942516229574547
132,60,45,20,8,Median,"[0, 104, 277, 557, 682, 784, 857, 976, 1046]",27148.115386242815,20.781972120885705,0.05165247074552861,88.10359098468793,3.17494463146902,0.20297559537962376,77.22378554062274,1.764967467715794
25,0,45,20,9,Mode,"[0, 39, 282, 492, 560, 682, 784, 857, 976, 1046]",24208.10564655655,21.381294730249525,0.040333459092033064,81.94575809774027,2.9225074140002794,0.1993793652383353,69.9031275826361,1.6370972256883085
27,0,50,10,10,Median,"[0, 92, 154, 282, 492, 560, 682, 784, 857, 976, 1046]",19921.19545823084,19.977684979287883,0.0551596328783159,80.81126451410981,2.9414721709676845,0.19736489045997013,59.062738515214306,1.7973565143928587
85,40,40,15,11,Mode,"[0, 92, 154, 282, 492, 560, 609, 682, 784, 857, 976, 1046]",17432.928758483242,20.0100860419204,0.04734463884243064,76.52988053986932,2.9360070867631105,0.20520313149932606,56.01547682592745,1.8180533623892807
88,40,40,20,12,Mode,"[0, 95, 154, 282, 492, 560, 609, 682, 784, 857, 929, 976, 1046]",15496.221622320452,19.770609521769895,0.048565295328727075,72.45073360038253,2.9291668444437193,0.2047511685593442,51.14004777085227,1.8879772715995153
88,40,40,20,13,Mode,"[0, 95, 154, 237, 282, 492, 560, 609, 682, 784, 857, 929, 976, 1046]",13579.018599568057,18.98557590017813,0.04603825747980953,68.40831190196174,2.9371692736790402,0.1942607648606721,44.90272244302872,1.9778057543284184
67,20,50,15,14,Mode,"[0, 39, 92, 154, 282, 360, 492, 560, 609, 682, 784, 857, 929, 976, 1046]",12687.89760504421,18.252610674822854,0.028141351575739673,65.16286819419854,2.987370041442547,0.19020314547617323,43.142568259768595,2.042967783654208
15,0,40,20,15,Median,"[0, 39, 95, 156, 235, 282, 360, 492, 560, 609, 682, 784, 857, 929, 976, 1046]",11883.656302624675,17.89923684989225,0.03296200521947444,62.51115696155893,2.960251475128521,0.1868830023455966,40.695154375727995,2.0746457492573063
16,0,40,20,16,Mode,"[0, 39, 95, 154, 237, 282, 360, 492, 560, 609, 682, 784, 857, 929, 976, 1043, 1046]",11185.494157011874,18.118142707744024,0.0027578294652304634,58.62057747476885,2.958003974061511,0.18579436760630402,38.29233092257207,2.016603166237157
