,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 116.5)","(117.5, 219.5)","(220.5, 301.5)","(302.5, 716.5)","(717.5, 769.5)","(770.5, 944.5)","(945.5, 1059.5)","(1060.5, 1156.5)","(1161.5, 1238.5)","(1239.5, 1304.5)"
"Time length, sec",108.0,102.0,81.0,414.0,52.0,174.0,114.0,96.0,77.0,65.0
Number of epochs,103,92,72,368,48,163,103,91,77,63
