,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 116.5)","(117.5, 223.5)","(224.5, 287.5)","(288.5, 770.5)","(771.5, 927.5)","(928.5, 988.5)","(989.5, 1059.5)","(1060.5, 1155.5)","(1156.5, 1238.5)","(1239.5, 1304.5)"
"Time length, sec",108.0,106.0,63.0,482.0,156.0,60.0,70.0,95.0,82.0,65.0
Number of epochs,103,96,54,431,145,55,65,90,78,63
