name,score,mean,variance,unique_values,normalized_score
channel-0 landscape dim-1 max,2.0485833419512147,1.7661674120231937e-16,1.0,1046,0.5302520383814102
channel-0 landscape dim-1 mean,2.4578664251270856,-2.173744507105469e-16,1.0,1046,0.64356385053368
channel-0 landscape dim-1 std,2.2358986421156826,8.151541901645509e-17,1.0,1046,0.58211109871878
channel-0 landscape dim-1 sum,2.4578664251270856,1.3585903169409181e-17,1.0,1046,0.64356385053368
channel-0 landscape dim-1 norm-1,2.4578664251270856,1.3585903169409181e-17,1.0,1046,0.64356385053368
channel-0 landscape dim-1 norm-2,2.2812223592242438,-4.0757709508227546e-17,1.0,1046,0.5946591680872886
channel-0 landscape dim-2 max,1.1183805035884415,-1.3585903169409182e-16,1.0,1026,0.27272131303066655
channel-0 landscape dim-2 mean,1.49672936365884,-1.0189427377056886e-17,1.0,1026,0.37746885018186704
channel-0 landscape dim-2 std,1.2904461234244315,5.774008846998903e-17,1.0000000000000002,1026,0.32035843265317876
channel-0 landscape dim-2 sum,1.4967293636588401,-1.0189427377056886e-17,1.0,1026,0.3774688501818671
channel-0 landscape dim-2 norm-1,1.4967293636588401,-1.0189427377056886e-17,1.0,1026,0.3774688501818671
channel-0 landscape dim-2 norm-2,1.3013439170473906,-3.3964757923522954e-17,1.0,1026,0.32337553449451806
channel-0 silhouette-1 dim-1 max,2.4549273619875196,-1.3585903169409181e-17,0.9999999999999998,1046,0.6427501580453662
channel-0 silhouette-1 dim-1 mean,2.6781822896121716,1.3585903169409181e-17,1.0000000000000002,1046,0.704559261477581
channel-0 silhouette-1 dim-1 std,2.557773356435826,-1.3585903169409181e-17,1.0000000000000002,1046,0.6712235215499414
channel-0 silhouette-1 dim-1 sum,2.678182289612171,0.0,1.0,1046,0.7045592614775809
channel-0 silhouette-1 dim-1 norm-1,2.678182289612171,0.0,1.0,1046,0.7045592614775809
channel-0 silhouette-1 dim-1 norm-2,2.580263253123127,4.0757709508227546e-17,0.9999999999999998,1046,0.6774499478390054
channel-0 silhouette-1 dim-2 max,0.9872149212088805,-3.736123371587525e-17,1.0,1026,0.23640754771178735
channel-0 silhouette-1 dim-2 mean,1.8465563517539751,-3.56629958196991e-17,1.0,1026,0.47431998229620614
channel-0 silhouette-1 dim-2 std,1.5929347299490813,3.3964757923522954e-17,1.0,1026,0.4041037267287578
channel-0 silhouette-1 dim-2 sum,1.8465563517539751,-5.4343612677636724e-17,1.0,1026,0.47431998229620614
channel-0 silhouette-1 dim-2 norm-1,1.8465563517539751,-5.4343612677636724e-17,1.0,1026,0.47431998229620614
channel-0 silhouette-1 dim-2 norm-2,1.1993967666597771,8.151541901645509e-17,1.0,1026,0.2951510199005039
channel-0 silhouette-2 dim-1 max,2.325309617468121,5.4343612677636724e-17,1.0000000000000002,1046,0.6068649184097181
channel-0 silhouette-2 dim-1 mean,2.619170370117245,-9.510132218586428e-17,1.0,1046,0.6882215533938079
channel-0 silhouette-2 dim-1 std,2.465538852050626,-1.3585903169409181e-17,0.9999999999999998,1046,0.6456879954936091
channel-0 silhouette-2 dim-1 sum,2.619170370117245,0.0,0.9999999999999998,1046,0.6882215533938079
channel-0 silhouette-2 dim-1 norm-1,2.619170370117245,0.0,0.9999999999999998,1046,0.6882215533938079
channel-0 silhouette-2 dim-1 norm-2,2.4928306915050595,1.3585903169409181e-17,1.0,1046,0.6532438606458021
channel-0 silhouette-2 dim-2 max,0.8632155978435645,-3.3964757923522954e-17,0.9999999999999998,1026,0.20207779255271163
channel-0 silhouette-2 dim-2 mean,1.7611428650515013,8.491189480880738e-18,1.0,1026,0.4506728848266479
channel-0 silhouette-2 dim-2 std,1.4759136865327271,-5.4343612677636724e-17,0.9999999999999998,1026,0.3717059389028713
channel-0 silhouette-2 dim-2 sum,1.7611428650515015,1.0189427377056886e-17,1.0,1026,0.450672884826648
channel-0 silhouette-2 dim-2 norm-1,1.7611428650515015,1.0189427377056886e-17,1.0,1026,0.450672884826648
channel-0 silhouette-2 dim-2 norm-2,1.4886003226226985,-5.094713688528443e-17,1.0,1026,0.3752182896072206
channel-0 entropy dim-1,2.1434456797846306,-6.7929515847045905e-16,1.0000000000000002,1046,0.5565150916244056
channel-0 entropy dim-2,1.0817786937423874,6.113656426234132e-17,1.0,1024,0.2625879418453077
channel-0 amplitude-bottleneck dim-1,2.0451601509190263,5.4343612677636724e-17,1.0,1046,0.5293043129680097
