,Feature,IV,IVs
0,feature-0 betti-1 max,0.29979658479593696,"[0.8174465176719459, 0.05075219569747619, 0.19629418279913782, 0.13296684241204487, 0.20448147551800222, 0.7511694221040569, 0.1980839388250542, 0.07711997034711729, 0.2698547177885974]"
1,feature-0 betti-1 mean,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,feature-0 betti-1 std,0.3991278063753598,"[0.9652016518948969, 0.08585889007365238, 0.3813991252343723, 0.17982163290838124, 0.1940235166379222, 1.1641765880487638, 0.37347814995818945, 0.1035143220439104, 0.14467638057814936]"
3,feature-0 betti-1 sum,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,feature-0 betti-1 norm,0.3991278063753598,"[0.9652016518948969, 0.08585889007365238, 0.3813991252343723, 0.17982163290838124, 0.1940235166379222, 1.1641765880487638, 0.37347814995818945, 0.1035143220439104, 0.14467638057814936]"
5,feature-0 betti-1 percentile-25,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,feature-0 betti-1 median,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7,feature-0 betti-1 percentile-75,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,feature-0 betti-1 percentile-90,0.01276360593285555,"[0.007373547971032429, 0.002144964814738789, 0.0370412913779636, 0.0009167115557952298, 0.01249009727855826, 0.003598457173570623, 0.0020343308698303098, 0.003227982452184512, 0.046045069902026205]"
9,feature-0 betti-1 kurtosis,0.2066363757243658,"[0.3793213618041043, 0.08045214435344614, 0.36758082603048375, 0.08204599614769675, 0.16990828545263084, 0.06414035651365854, 0.1119045385067489, 0.312727654086016, 0.2916462186245072]"
10,feature-0 betti-1 skew,0.1543522587005819,"[0.29041199340082274, 0.12375115084471273, 0.3244018828235714, 0.028068523154053185, 0.1368720349514154, 0.14403143397100307, 0.07989651719406889, 0.07321342972310071, 0.18852336224248883]"
11,feature-0 betti-2 max,0.18245589816536364,"[0.32607217991742093, 0.026597410763604532, 0.3514390785147001, 0.11146474942506115, 0.06257079308759024, 0.3185145569081553, 0.11624992750690287, 0.177709949429434, 0.15148443793540378]"
12,feature-0 betti-2 mean,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
13,feature-0 betti-2 std,0.30582890674990687,"[0.49188119335060376, 0.05682449323945224, 0.570183731834233, 0.05516490243431493, 0.6010670430551408, 0.48970610245182417, 0.08215808890612827, 0.25066539358368745, 0.154809211893777]"
14,feature-0 betti-2 sum,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
15,feature-0 betti-2 norm,0.30582890674990687,"[0.49188119335060376, 0.05682449323945224, 0.570183731834233, 0.05516490243431493, 0.6010670430551408, 0.48970610245182417, 0.08215808890612827, 0.25066539358368745, 0.154809211893777]"
16,feature-0 betti-2 percentile-25,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
17,feature-0 betti-2 median,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
18,feature-0 betti-2 percentile-75,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
