,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 434.5)","(436.5, 606.5)","(607.5, 762.5)","(763.5, 1170.5)","(1171.5, 1320.5)","(1321.5, 1551.5)","(1552.5, 2059.5)","(2062.5, 2345.5)"
"Time length, sec",424.0,170.0,155.0,407.0,149.0,230.0,507.0,283.0
Number of epochs,370,145,131,348,120,203,444,256
