,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 170.5)","(171.5, 473.5)","(474.5, 738.5)","(739.5, 1124.5)","(1125.5, 1375.5)","(1376.5, 1560.5)","(1561.5, 1691.5)","(1692.5, 2348.5)"
"Time length, sec",160.0,302.0,264.0,385.0,250.0,184.0,130.0,656.0
Number of epochs,142,262,221,331,207,162,115,579
