,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 437.5)","(438.5, 625.5)","(626.5, 761.5)","(762.5, 924.5)","(925.5, 1170.5)","(1171.5, 1300.5)","(1301.5, 1502.5)","(1503.5, 2345.5)"
"Time length, sec",427.0,187.0,135.0,162.0,245.0,129.0,201.0,842.0
Number of epochs,372,160,113,135,214,103,178,742
