,0,1,2,3,4,5,6,7,8,9,10
"Start-end time, sec","(5.5, 266.5)","(267.5, 697.5)","(700.5, 758.5)","(759.5, 828.5)","(829.5, 1298.5)","(1300.5, 1378.5)","(1380.5, 1597.5)","(1598.5, 1805.5)","(1806.5, 1933.5)","(1934.5, 2345.5)","(2346.5, 2699.5)"
"Time length, sec",261.0,430.0,58.0,69.0,469.0,78.0,217.0,207.0,127.0,411.0,353.0
Number of epochs,252,401,54,69,449,75,207,202,124,390,331
