,0,1,2,3,4,5,6,7,8
"Start-end time, sec","(9.9, 33.1)","(33.9, 145.9)","(146.7, 286.7)","(287.5, 456.3)","(457.1, 509.9)","(510.7, 614.7)","(615.5, 771.5)","(772.3, 874.7)","(875.5, 938.7)"
"Time length, sec",23.200000000000003,112.0,140.0,168.8,52.799999999999955,104.00000000000006,156.0,102.40000000000009,63.200000000000045
Number of epochs,27,127,154,185,65,117,182,116,73
