,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 101.5)","(102.5, 223.5)","(224.5, 287.5)","(288.5, 770.5)","(771.5, 927.5)","(928.5, 989.5)","(990.5, 1059.5)","(1060.5, 1156.5)","(1161.5, 1238.5)","(1239.5, 1304.5)"
"Time length, sec",93.0,121.0,63.0,482.0,156.0,61.0,69.0,96.0,77.0,65.0
Number of epochs,88,111,54,431,145,56,64,91,77,63
