,0,1,2,3,4,5,6,7,8
"Start-end time, sec","(9.9, 209.1)","(210.7, 264.3)","(265.1, 426.7)","(427.5, 494.7)","(495.5, 600.3)","(601.1, 713.9)","(714.7, 765.1)","(765.9, 840.3)","(841.1, 938.7)"
"Time length, sec",199.2,53.60000000000002,161.59999999999997,67.19999999999999,104.79999999999995,112.79999999999995,50.39999999999998,74.39999999999998,97.60000000000002
Number of epochs,223,60,177,79,120,132,58,83,114
