,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 99.5)","(100.5, 219.5)","(220.5, 301.5)","(302.5, 767.5)","(768.5, 919.5)","(920.5, 991.5)","(992.5, 1059.5)","(1060.5, 1156.5)","(1161.5, 1238.5)","(1239.5, 1304.5)"
"Time length, sec",91.0,119.0,81.0,465.0,151.0,71.0,67.0,96.0,77.0,65.0
Number of epochs,86,109,72,414,141,65,62,91,77,63
