,Feature,true,internal,external,internal-diff,external-diff,Source,Algorithm,Dimension,Stat
178,channel-0 bd2 all mean,1.0583201127201174,1.2539128300665547,1.1147637625114926,-0.1955927173464373,-0.0564436497913751,channel-0,bd2,all,mean
19542,overall bd2 dim-2 mean,0.8907512272011668,1.243810246338925,1.0139051563894594,-0.353059019137758,-0.1231539291882926,overall,bd2,dim-2,mean
189,channel-0 bd2 dim-1 mean,1.029492230890984,1.242890598807247,1.107754598625305,-0.213398367916263,-0.078262367734321,channel-0,bd2,dim-1,mean
192,channel-0 bd2 dim-1 percentile-25,0.9873210822016892,1.2039128625198248,1.0270202105946125,-0.2165917803181354,-0.0396991283929231,channel-0,bd2,dim-1,percentile-25
182,channel-0 bd2 all median,0.9543200849701424,1.200401582942945,1.043742933114084,-0.2460814979728027,-0.0894228481439416,channel-0,bd2,all,median
193,channel-0 bd2 dim-1 median,0.974771090277585,1.19705248017417,1.0445659490664798,-0.2222813898965849,-0.0697948587888948,channel-0,bd2,dim-1,median
609,channel-2 bd2 dim-1 mean,0.937081860053114,1.1962688349945858,1.006668635701604,-0.2591869749414719,-0.0695867756484902,channel-2,bd2,dim-1,mean
181,channel-0 bd2 all percentile-25,0.9904706717661916,1.1861135742610571,1.035765252231016,-0.1956429024948655,-0.0452945804648244,channel-0,bd2,all,percentile-25
19547,overall bd2 dim-2 percentile-75,0.8525528261326544,1.1722038392767566,0.9766100910681592,-0.3196510131441022,-0.1240572649355049,overall,bd2,dim-2,percentile-75
183,channel-0 bd2 all percentile-75,0.9618547462297898,1.171934274772381,1.0244351735316042,-0.2100795285425912,-0.0625804273018143,channel-0,bd2,all,percentile-75
200,channel-0 bd2 dim-2 mean,0.9295457876355298,1.171835304087494,1.0095703148350506,-0.2422895164519642,-0.0800245271995208,channel-0,bd2,dim-2,mean
598,channel-2 bd2 all mean,0.8945106445871674,1.166513009680309,0.9805113515453874,-0.2720023650931414,-0.0860007069582199,channel-2,bd2,all,mean
194,channel-0 bd2 dim-1 percentile-75,0.9360579401119936,1.164841858626445,0.9916951039469216,-0.2287839185144515,-0.0556371638349282,channel-0,bd2,dim-1,percentile-75
19546,overall bd2 dim-2 median,0.8353208912500587,1.1602006706720402,0.9113079228769444,-0.3248797794219815,-0.0759870316268858,overall,bd2,dim-2,median
198,channel-0 bd2 dim-1 norm-2,0.9685834425597132,1.1552525695059064,1.0208026252802078,-0.1866691269461933,-0.0522191827204947,channel-0,bd2,dim-1,norm-2
19519,overall bd2 all max,0.8460267957133438,1.1403279194498106,0.9566385838349016,-0.2943011237364668,-0.1106117881215578,overall,bd2,all,max
1029,channel-4 bd2 dim-1 mean,0.8263527633387215,1.1386695126484525,0.8851105525448776,-0.3123167493097309,-0.058757789206156,channel-4,bd2,dim-1,mean
19520,overall bd2 all mean,0.8194575451717261,1.1372475586564097,0.9429580205598138,-0.3177900134846836,-0.1235004753880877,overall,bd2,all,mean
1033,channel-4 bd2 dim-1 median,0.8117861981907538,1.1365675194354412,0.8719004832688189,-0.3247813212446874,-0.060114285078065,channel-4,bd2,dim-1,median
19525,overall bd2 all percentile-75,0.8181023774730884,1.133794264127961,0.9328779290132732,-0.3156918866548726,-0.1147755515401847,overall,bd2,all,percentile-75
19531,overall bd2 dim-1 mean,0.7851330670409751,1.1298098237882406,0.9012675629063114,-0.3446767567472655,-0.1161344958653363,overall,bd2,dim-1,mean
19553,overall bd2 dim-3 mean,0.8401444660460968,1.128550290751062,0.9272656310580412,-0.2884058247049652,-0.0871211650119443,overall,bd2,dim-3,mean
187,channel-0 bd2 all norm-2,0.9468720959650488,1.125180684919921,0.994607862250288,-0.1783085889548723,-0.0477357662852392,channel-0,bd2,all,norm-2
