index,name,score,mean,variance,unique_values
0,channel-0 entropy dim-1,0.536408429560179,-1.6303083803291018e-16,1.0,1046
1,channel-0 entropy dim-2,0.1485714492179864,3.3964757923522953e-16,1.0,1024
2,channel-0 numberofpoints dim-1,0.4135186499903616,1.6303083803291018e-16,1.0,72
3,channel-0 numberofpoints dim-2,0.4543591526388322,4.755066109293214e-17,1.0,35
4,channel-0 amplitude-bottleneck dim-1,0.5112900377297566,5.4343612677636724e-17,1.0,1046
5,channel-0 amplitude-bottleneck dim-2,0.1807827550034887,-2.7171806338818362e-17,1.0,1043
6,channel-0 amplitude-bottleneck norm-1,0.4811388260814866,-6.792951584704591e-17,1.0000000000000004,1046
7,channel-0 amplitude-bottleneck norm-2,0.508506150489737,-1.3585903169409181e-17,0.9999999999999998,1046
8,channel-0 amplitude-wasserstein-1 dim-1,0.2460069676777513,0.0,1.0,1046
9,channel-0 amplitude-wasserstein-1 dim-2,0.2328130719814943,2.7171806338818362e-17,0.9999999999999998,1043
10,channel-0 amplitude-wasserstein-1 norm-1,0.2318026024238531,3.600264339893433e-16,0.9999999999999998,1046
11,channel-0 amplitude-wasserstein-1 norm-2,0.2481975147814949,3.0568282131170663e-16,1.0,1046
12,channel-0 amplitude-wasserstein-2 dim-1,0.4018394248578208,1.6303083803291018e-16,1.0,1046
13,channel-0 amplitude-wasserstein-2 dim-2,0.1413274481181511,1.0868722535527343e-16,1.0,1043
14,channel-0 amplitude-wasserstein-2 norm-1,0.36494106728631,-2.6492511180347905e-16,1.0,1046
15,channel-0 amplitude-wasserstein-2 norm-2,0.3986261118512091,0.0,1.0,1046
16,channel-0 amplitude-betti-1 dim-1,0.2199856161387196,1.2906608010938724e-16,1.0,94
17,channel-0 amplitude-betti-1 dim-2,0.2964024418555303,2.7171806338818362e-17,1.0,27
18,channel-0 amplitude-betti-1 norm-1,0.2276379586901034,-2.0378854754113773e-17,1.0,609
19,channel-0 amplitude-betti-1 norm-2,0.2455516287194156,-1.2906608010938724e-16,1.0,609
