thresholds,num_features,explained_variances_reduced,explained_variances_all,fmi_s,silh_15,silh_reduced,silh_all
0.1,3600.0,0.3971630066064178,0.3860805315692707,0.8125828368238319,0.32699376344680786,0.09489995535246523,0.0908484309875246
0.15,3013.0,0.4081769903683952,0.3835870663425342,0.7301853739583197,0.332751601934433,0.10213269969099313,0.09177783106082114
0.2,2333.0,0.4118777215579392,0.3696126641480155,0.8034226458295884,0.3821853697299957,0.12324661137008527,0.10323715203944707
0.25,1650.0,0.41839433770345524,0.35664010992970147,0.7479681094090304,0.39283302426338196,0.12962780078411806,0.1076355840608351
0.3,1239.0,0.4158065630354104,0.3208617828839563,0.7488577990161305,0.3995261788368225,0.12350386419588623,0.10636248318436439
0.35,982.0,0.45050485977712973,0.3226685910057762,0.7403943893430959,0.3857020139694214,0.12494970677433846,0.1045437936577778
0.4,758.0,0.4694618390077181,0.29296812653121523,0.8286568980205391,0.33364659547805786,0.09079142237496357,0.09034315348281047
0.45,596.0,0.49795135324642154,0.28854335561048405,0.7700411366875265,0.35121163725852966,0.10970517297080368,0.09834981470826004
0.5,451.0,0.5236960401113196,0.28091541807175024,0.0,0.0,0.0,0.0
0.55,334.0,0.5563694224236281,0.2636272633354677,0.0,0.0,0.0,0.0
0.6,242.0,0.5885392636752375,0.2576924609474977,0.0,0.0,0.0,0.0
0.65,159.0,0.5782670494065932,0.24283368641077394,0.0,0.0,0.0,0.0
0.7,105.0,0.5905081282430498,0.22461580856662036,0.0,0.0,0.0,0.0
0.75,58.0,0.4499578598478358,0.2081125609362358,0.0,0.0,0.0,0.0
0.8,34.0,0.39840197944572403,0.1663315521587173,0.6276009768302632,0.10113324224948883,0.08392544682432079,0.06109159524601126
0.85,25.0,0.40490531471932323,0.1670421451196067,0.6378146631343938,0.10695213824510574,0.07907016923538711,0.09145306693630992
0.9,23.0,0.3495099624567184,0.18155100466939542,0.6097263549310482,0.11909931153059006,0.11363341288607465,0.08821945674189943
