,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 61.5)","(62.5, 219.5)","(220.5, 301.5)","(302.5, 697.5)","(698.5, 769.5)","(770.5, 919.5)","(920.5, 1059.5)","(1060.5, 1154.5)","(1155.5, 1238.5)","(1239.5, 1304.5)"
"Time length, sec",53.0,157.0,81.0,395.0,71.0,149.0,139.0,94.0,83.0,65.0
Number of epochs,52,143,72,351,65,139,127,89,79,63
