,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 96.5)","(97.5, 152.5)","(153.5, 295.5)","(296.5, 516.5)","(517.5, 700.5)","(702.5, 816.5)","(818.5, 955.5)","(957.5, 1153.5)","(1154.5, 1232.5)","(1233.5, 1304.5)"
"Time length, sec",88.0,55.0,142.0,220.0,183.0,114.0,137.0,196.0,78.0,71.0
Number of epochs,83,52,126,197,163,106,130,180,74,69
