,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 61.5)","(62.5, 147.5)","(149.5, 219.5)","(220.5, 301.5)","(302.5, 763.5)","(765.5, 919.5)","(920.5, 1059.5)","(1060.5, 1172.5)","(1173.5, 1238.5)","(1239.5, 1304.5)"
"Time length, sec",53.0,85.0,70.0,81.0,461.0,154.0,139.0,112.0,65.0,65.0
Number of epochs,52,80,63,72,411,144,127,103,65,63
