,0,1,2,3,4,5,6,7
"Start-end time, sec","(6.5, 278.5)","(279.5, 341.5)","(342.5, 395.5)","(396.5, 450.5)","(451.5, 506.5)","(507.5, 594.5)","(595.5, 644.5)","(645.5, 2236.5)"
"Time length, sec",272.0,62.0,53.0,54.0,55.0,87.0,49.0,1591.0
Number of epochs,257,60,53,52,53,85,49,1511
