,0,1,2,3,4,5,6,7,8,9,10,11
"Start-end time, sec","(13.5, 126.5)","(127.5, 389.5)","(390.5, 709.5)","(710.5, 1157.5)","(1158.5, 1320.5)","(1321.5, 1752.5)","(1753.5, 2738.5)","(2739.5, 2968.5)","(2970.5, 3171.5)","(3172.5, 3593.5)","(3594.5, 4356.5)","(4357.5, 4996.5)"
"Time length, sec",113.0,262.0,319.0,447.0,162.0,431.0,985.0,229.0,201.0,421.0,762.0,639.0
Number of epochs,107,250,308,432,159,408,935,226,191,410,736,596
