,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 72.5)","(73.5, 411.5)","(412.5, 646.5)","(647.5, 871.5)","(873.5, 1103.5)","(1104.5, 1324.5)","(1325.5, 2044.5)","(2045.5, 2345.5)"
"Time length, sec",62.0,338.0,234.0,224.0,230.0,220.0,719.0,300.0
Number of epochs,54,294,200,189,199,181,629,271
