index,name,score,mean,variance,unique_values
0,D_psd_Fp,5.250988730694602,4.2116299825168463e-16,1.0,1046
1,D_psd_LF,4.544934534699023,-1.2838678495091677e-15,1.0,1046
2,D_psd_MF,4.51378063775412,-1.9495771048102176e-15,0.9999999999999998,1046
3,D_psd_RF,5.000023503030266,4.39503967530387e-15,1.0000000000000002,1046
4,D_psd_LT,5.691523415319799,2.309603538799561e-16,1.0,1046
5,D_psd_RT,3.586109511313717,2.7443524402206547e-15,1.0,1046
6,D_psd_LC,3.7788620983973025,-2.920969181422974e-16,1.0,1046
7,D_psd_MC,3.7528517837847573,-2.037885475411377e-16,1.0,1046
8,D_psd_RC,3.7228477434818985,-1.0053568345362794e-15,1.0000000000000002,1046
9,D_psd_LP,5.844086449598948,-6.147621184157654e-16,1.0,1046
10,D_psd_MP,5.176181192516996,-4.075770950822754e-16,0.9999999999999998,1046
11,D_psd_RP,7.224183002409718,1.1412158662303712e-15,1.0,1046
12,D_psd_LO,8.76520977815191,2.6730264485812564e-15,1.0,1046
13,D_psd_MO,6.894887369751438,-2.5269779895101078e-15,1.0,1046
14,D_psd_RO,2.7249526919351474,-1.2159383336621218e-15,1.0,1046
15,T_psd_Fp,30.222295258729748,-2.6390616906577333e-15,1.0,1046
16,T_psd_LF,13.669265351375234,1.575964767651465e-15,1.0,1046
17,T_psd_MF,26.130772227993475,3.369303986013477e-15,1.0,1046
18,T_psd_RF,17.211980128487077,3.2606167606582037e-16,1.0,1046
19,T_psd_LT,7.60688708501517,-1.49444934863501e-16,1.0,1046
20,T_psd_RT,14.719458431806856,3.369303986013477e-15,0.9999999999999998,1046
21,T_psd_LC,15.484757433166811,-4.673550690276759e-15,1.0,1046
22,T_psd_MC,18.129432517236193,-2.4454625704936526e-16,1.0,1046
23,T_psd_RC,11.50401697948752,-2.377533054646607e-15,1.0,1046
24,T_psd_LP,18.99351396690414,-2.7171806338818362e-17,1.0000000000000002,1046
25,T_psd_MP,20.186170854905743,-3.1926872448111577e-15,1.0,1046
26,T_psd_RP,14.338254493243939,-1.6574801866679202e-15,0.9999999999999996,1046
27,T_psd_LO,17.075413685275123,1.0053568345362794e-15,0.9999999999999998,1046
28,T_psd_MO,18.083650332539595,-3.0160705036088383e-15,1.0000000000000002,1046
29,T_psd_RO,23.269631477992274,8.423259965033693e-16,1.0,1046
30,A_psd_Fp,15.348350948538874,-2.309603538799561e-15,1.0,1046
31,A_psd_LF,15.274141526740772,3.3421321796746585e-15,1.0,1046
32,A_psd_MF,15.286136154934853,-4.211629982516846e-15,1.0000000000000002,1046
