num_features,explained_variances_reduced,explained_variances_all,fmi,silh_15,silh_reduced,silh_all
51,0.927856516910021,0.5164067636525166,0.7196510576645387,0.2539546429710976,0.23271230038879911,0.1377096201319135
102,0.8712685490265083,0.5854927749631081,0.7885379567704873,0.23963308062319466,0.20426496825135637,0.13395777134464507
153,0.8403418940191422,0.6044318429277401,0.6718945846090392,0.24005364648405528,0.19789112594528607,0.13450147006618446
204,0.82704979125101,0.6168839580508526,0.6765985501094484,0.2498859080815215,0.20142529423424332,0.14012988975340152
255,0.8130592240302988,0.6267830397870677,0.8034385578239269,0.24030034062220645,0.18959481109424925,0.13398544747510965
306,0.7995217154118196,0.6306851654737828,0.7379403408726074,0.240713900211669,0.18691160945782412,0.13601400742840547
357,0.7919827013967864,0.6378023766499785,0.7796482427296344,0.23739647657637034,0.18181992516970857,0.13410907757419427
408,0.7780754071570283,0.6491864203696254,0.6532968907804023,0.24026004679833185,0.1853773731024873,0.13812567270501347
459,0.7626723960225114,0.6686506747027526,0.6929507482697967,0.22906457230068672,0.17099301804983094,0.13304289870873176
510,0.7489589720048124,0.6846865501740954,0.6782388235464519,0.22689404369504296,0.1661981937234899,0.13454002910294377
561,0.739393081388296,0.6948969217473057,0.8588307884088562,0.2261380336971815,0.16271948456516738,0.13773651578706209
612,0.7265362386110874,0.7009797254601409,0.8612718626397499,0.22121320531786884,0.15614533007494416,0.1367044399209922
663,0.7167772547929089,0.7060747469029568,0.7239909368073325,0.21400600377948104,0.14982208578933548,0.1368802864128188
714,0.7127705158639185,0.7089384027144484,0.7326531348678987,0.2103815446363097,0.14603521594980812,0.13919887741283238
