num_features,explained_variances_reduced,explained_variances_all,fmi,silh_15,silh_reduced,silh_all
51,0.7072011789553774,0.41911875150729516,0.0,0.0,0.0,0.0
102,0.6558140169634138,0.4381693933352625,0.0,0.0,0.0,0.0
153,0.6287573288850822,0.44380129694474396,0.0,0.0,0.0,0.0
204,0.6285244799015197,0.4611996416947233,0.0,0.0,0.0,0.0
255,0.606830610824963,0.4588641541426605,0.0,0.0,0.0,0.0
306,0.6047907437265141,0.4647802005976958,0.0,0.0,0.0,0.0
357,0.5864826116003563,0.45931194160495115,0.0,0.0,0.0,0.0
408,0.568991399506986,0.46012154482490397,0.0,0.0,0.0,0.0
459,0.5535020150470938,0.4668276235403872,0.0,0.0,0.0,0.0
510,0.5406007895995024,0.46315100162983097,0.0,0.0,0.0,0.0
561,0.5257074315524861,0.47125120343951815,0.0,0.0,0.0,0.0
612,0.516034857811453,0.4778568567329306,0.8239693912049483,0.5214268565177917,0.1506972701872463,0.13087483460760446
663,0.5148357645770785,0.49310070908136655,0.8221265856303923,0.5176811814308167,0.14472234982489113,0.13174282199231332
714,0.5073179663081696,0.4958759033885373,0.8459071662662822,0.5257055759429932,0.1445353424128889,0.13754202043469593
