,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 437.5)","(438.5, 672.5)","(675.5, 762.5)","(763.5, 1098.5)","(1099.5, 1214.5)","(1215.5, 1567.5)","(1568.5, 2120.5)","(2121.5, 2345.5)"
"Time length, sec",427.0,234.0,87.0,335.0,115.0,352.0,552.0,224.0
Number of epochs,372,200,74,285,103,298,480,205
