,0,1,2,3,4,5,6,7,8
"Start-end time, sec","(20.5, 115.5)","(116.5, 519.5)","(520.5, 1423.5)","(1424.5, 2277.5)","(2278.5, 2919.5)","(2920.5, 3447.5)","(3450.5, 4029.5)","(4030.5, 4400.5)","(4401.5, 4549.5)"
"Time length, sec",95.0,403.0,903.0,853.0,641.0,527.0,579.0,370.0,148.0
Number of epochs,93,372,846,813,615,490,553,359,144
