,0,1,2,3,4
"Start-end time, sec","(5.5, 251.5)","(252.5, 459.5)","(460.5, 898.5)","(900.5, 1223.5)","(1224.5, 1281.5)"
"Time length, sec",246.0,207.0,438.0,323.0,57.0
Number of epochs,236,190,411,307,53
