,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 118.5)","(119.5, 269.5)","(270.5, 344.5)","(345.5, 416.5)","(417.5, 482.5)","(483.5, 771.5)","(772.5, 954.5)","(955.5, 1003.5)","(1004.5, 1049.5)","(1050.5, 1304.5)"
"Time length, sec",110.0,150.0,74.0,71.0,65.0,288.0,182.0,48.0,45.0,254.0
Number of epochs,105,133,68,63,58,258,171,43,42,239
