,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 237.5)","(238.5, 593.5)","(596.5, 761.5)","(762.5, 996.5)","(997.5, 1170.5)","(1171.5, 1329.5)","(1330.5, 2044.5)","(2045.5, 2345.5)"
"Time length, sec",227.0,355.0,165.0,234.0,173.0,158.0,714.0,300.0
Number of epochs,201,306,138,198,151,128,624,271
