,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 61.5)","(62.5, 116.5)","(117.5, 164.5)","(165.5, 249.5)","(250.5, 763.5)","(765.5, 927.5)","(928.5, 1059.5)","(1060.5, 1155.5)","(1156.5, 1215.5)","(1217.5, 1304.5)"
"Time length, sec",53.0,54.0,47.0,84.0,513.0,162.0,131.0,95.0,59.0,87.0
Number of epochs,52,51,43,75,457,151,120,90,56,85
