,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 437.5)","(438.5, 641.5)","(642.5, 762.5)","(763.5, 1170.5)","(1171.5, 1320.5)","(1321.5, 1389.5)","(1390.5, 2044.5)","(2045.5, 2345.5)"
"Time length, sec",427.0,203.0,120.0,407.0,149.0,68.0,654.0,300.0
Number of epochs,372,173,101,348,120,60,572,271
