,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 411.5)","(412.5, 593.5)","(596.5, 996.5)","(997.5, 1170.5)","(1171.5, 1324.5)","(1325.5, 1840.5)","(1841.5, 2044.5)","(2045.5, 2345.5)"
"Time length, sec",401.0,181.0,400.0,173.0,153.0,515.0,203.0,300.0
Number of epochs,348,159,336,151,123,444,185,271
