,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 411.5)","(412.5, 666.5)","(668.5, 919.5)","(921.5, 996.5)","(997.5, 1333.5)","(1334.5, 1764.5)","(1765.5, 2130.5)","(2131.5, 2345.5)"
"Time length, sec",401.0,254.0,251.0,75.0,336.0,430.0,365.0,214.0
Number of epochs,348,219,209,67,282,374,322,196
