,0,1,2,3,4,5,6,7
"Start-end time, sec","(6.5, 75.5)","(76.5, 392.5)","(393.5, 735.5)","(736.5, 1044.5)","(1045.5, 1123.5)","(1124.5, 1343.5)","(1344.5, 1822.5)","(1823.5, 1905.5)"
"Time length, sec",69.0,316.0,342.0,308.0,78.0,219.0,478.0,82.0
Number of epochs,67,300,326,295,77,211,454,80
