,0,1,2,3,4,5,6,7,8,9,10,11
"Start-end time, sec","(13.5, 277.5)","(278.5, 680.5)","(681.5, 831.5)","(832.5, 886.5)","(887.5, 2640.5)","(2641.5, 3015.5)","(3016.5, 3213.5)","(3214.5, 3348.5)","(3349.5, 3433.5)","(3434.5, 3594.5)","(3595.5, 4103.5)","(4104.5, 4996.5)"
"Time length, sec",264.0,402.0,150.0,54.0,1753.0,374.0,197.0,134.0,84.0,160.0,508.0,892.0
Number of epochs,252,384,147,52,1674,357,190,132,83,156,493,838
