,0,1,2,3,4,5,6,7,8
"Start-end time, sec","(9.9, 111.5)","(112.3, 241.9)","(242.7, 352.3)","(353.1, 434.7)","(435.5, 547.5)","(548.3, 668.3)","(669.1, 773.9)","(774.7, 853.1)","(853.9, 938.7)"
"Time length, sec",101.6,129.60000000000002,109.60000000000002,81.59999999999997,112.0,120.0,104.79999999999995,78.39999999999998,84.80000000000007
Number of epochs,115,144,120,90,130,137,124,88,98
