,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 434.5)","(436.5, 618.5)","(619.5, 859.5)","(860.5, 1240.5)","(1242.5, 1502.5)","(1503.5, 1750.5)","(1752.5, 2169.5)","(2170.5, 2345.5)"
"Time length, sec",424.0,182.0,240.0,380.0,260.0,247.0,417.0,175.0
Number of epochs,370,156,202,324,223,214,368,160
