Algorithm,unique_values,score,normalized_score,IV,normalized_iv,QSDA_IDX,IV_IDX,IDX_DIFF
amplitude-silhouette-2-2,1159.1985815602836,1.4094156602218262,0.2268039400751172,0.1904367354907404,0.0416673352399567,1478.1347517730496,2531.2624113475176,-1053.127659574468
silhouette-2,1121.9295774647887,1.3440102060384336,0.21578422266258757,0.19182903244382327,0.042056520100576096,1624.3427230046948,2568.2323943661972,-943.8896713615023
silhouette-1,1121.9295774647887,1.2988141218438556,0.20816944370882237,0.2174676320515038,0.04922320590901493,1702.0093896713615,2460.9600938967137,-758.9507042253521
amplitude-silhouette-1-2,1159.1985815602836,1.6977206015683848,0.2753784668013869,0.22271804504029888,0.050690839119526494,1071.4609929078015,2394.468085106383,-1323.0070921985816
amplitude-silhouette-2-1,1159.1985815602836,1.363234478388165,0.21902318876106527,0.23193814784828046,0.05326810858655751,1579.9148936170213,2286.063829787234,-706.1489361702128
amplitude-bottleneck,1196.468085106383,0.8759930956824482,0.1369312223319025,0.23628090520058875,0.05448202736381233,2565.8368794326243,2316.177304964539,249.6595744680851
landscape,1121.9084507042253,0.9859438670450137,0.15545607541690376,0.24804444475291396,0.05777025656730606,2341.3028169014083,2301.4272300469484,39.875586854460096
amplitude-landscape-2-1,1159.1985815602836,1.0745332457640628,0.17038189362922296,0.25976754355648496,0.061047181481774106,2119.900709219858,2254.758865248227,-134.8581560283688
amplitude-silhouette-1-1,1159.1985815602836,1.5808014993671853,0.25567956733695907,0.25994358693056013,0.06109639039216545,1245.3191489361702,2274.794326241135,-1029.4751773049645
amplitude-landscape-1-1,1159.1843971631206,1.2570219598140644,0.20112816830791116,0.2801118476145575,0.06673396771060834,1765.8297872340424,2177.7163120567375,-411.88652482269504
amplitude-landscape-2-2,1159.1985815602836,1.0087300889849864,0.15929517002778468,0.2809416189257225,0.06696591135694521,2274.099290780142,2207.418439716312,66.68085106382979
entropy,1194.5774647887324,0.5520127976244456,0.08234599887613697,0.28472972205414926,0.06802478919531456,3373.3521126760565,1955.7605633802816,1417.5915492957747
amplitude-landscape-1-2,1159.1985815602836,1.2448561331317078,0.199078431419708,0.30436479555406615,0.07351332619627282,1822.4822695035461,2128.205673758865,-305.72340425531917
life,1196.2028301886792,0.8896444781109222,0.13923125034226302,0.3995732608949483,0.1001266813655363,2585.122641509434,1834.682389937107,750.440251572327
amplitude-wasserstein-2,1196.5460992907801,0.9267965620293324,0.1454907507337674,0.4425249982034312,0.11213285997617631,2470.340425531915,1721.049645390071,749.2907801418439
amplitude-wasserstein-1,1196.531914893617,0.9022322178770396,0.141352072478841,0.5158327034081617,0.1326243571163935,2652.255319148936,1529.5177304964539,1122.7375886524824
bd2,1196.2216981132076,1.0705559285267574,0.16971178266428422,0.5700762515985942,0.1477869039389308,2263.183962264151,1442.6022012578617,820.5817610062893
