index,name,score,mean,variance,unique_values
0,channel-0 entropy dim-1,2.145633718240716,-1.6303083803291018e-16,1.0,1046
1,channel-0 entropy dim-2,0.859351313540135,3.3964757923522953e-16,1.0,1024
2,channel-0 numberofpoints dim-1,1.6540745999614463,1.6303083803291018e-16,1.0,72
3,channel-0 numberofpoints dim-2,1.3630774579164966,4.755066109293214e-17,1.0,35
4,channel-0 amplitude-bottleneck dim-1,2.0451601509190263,5.4343612677636724e-17,1.0,1046
5,channel-0 amplitude-bottleneck dim-2,0.7231310200139549,-2.7171806338818362e-17,1.0,1043
6,channel-0 amplitude-bottleneck norm-1,1.9245553043259465,-6.792951584704591e-17,1.0000000000000004,1046
7,channel-0 amplitude-bottleneck norm-2,2.034024601958948,-1.3585903169409181e-17,0.9999999999999998,1046
8,channel-0 amplitude-wasserstein-1 dim-1,1.6687463733100913,0.0,1.0,1046
9,channel-0 amplitude-wasserstein-1 dim-2,0.698439215944483,2.7171806338818362e-17,0.9999999999999998,1043
10,channel-0 amplitude-wasserstein-1 norm-1,1.691203993835648,3.600264339893433e-16,0.9999999999999998,1046
11,channel-0 amplitude-wasserstein-1 norm-2,1.7639095262332567,3.056828213117066e-16,1.0,1046
12,channel-0 amplitude-wasserstein-2 dim-1,1.985089523429295,1.6303083803291018e-16,1.0,1046
13,channel-0 amplitude-wasserstein-2 dim-2,0.785024154617845,1.0868722535527345e-16,1.0,1043
14,channel-0 amplitude-wasserstein-2 norm-1,1.82470533643155,-2.6492511180347905e-16,1.0,1046
15,channel-0 amplitude-wasserstein-2 norm-2,1.9598867820280175,0.0,1.0,1046
16,channel-0 amplitude-betti-1 dim-1,1.516043181401791,1.2906608010938724e-16,1.0,94
17,channel-0 amplitude-betti-1 dim-2,0.889207325566591,2.7171806338818362e-17,1.0,27
18,channel-0 amplitude-betti-1 norm-1,1.4109248131178205,-2.0378854754113773e-17,1.0,609
19,channel-0 amplitude-betti-1 norm-2,1.6443179455845904,-1.2906608010938724e-16,1.0,609
20,channel-0 amplitude-betti-2 dim-1,1.2768047294489684,-1.49444934863501e-16,1.0,741
21,channel-0 amplitude-betti-2 dim-2,0.9703090897186271,-1.3585903169409182e-16,1.0000000000000002,73
22,channel-0 amplitude-betti-2 norm-1,1.2714159143524058,6.113656426234132e-16,0.9999999999999998,1021
23,channel-0 amplitude-betti-2 norm-2,1.2270774694206181,2.5813216021877447e-16,1.0,1021
24,channel-0 amplitude-landscape-1-1 dim-1,2.4578664251270856,0.0,1.0,1046
25,channel-0 amplitude-landscape-1-1 dim-2,1.49672936365884,-5.4343612677636724e-17,1.0,1026
26,channel-0 amplitude-landscape-1-1 norm-1,2.4458309759619157,-6.792951584704591e-17,0.9999999999999996,1046
