,0,1,2,3,4,5,6,7,8,9,10
"Start-end time, sec","(5.5, 316.5)","(317.5, 759.5)","(760.5, 1110.5)","(1111.5, 1298.5)","(1300.5, 1369.5)","(1370.5, 1729.5)","(1730.5, 2091.5)","(2092.5, 2172.5)","(2173.5, 2352.5)","(2353.5, 2513.5)","(2514.5, 2699.5)"
"Time length, sec",311.0,442.0,350.0,187.0,69.0,359.0,361.0,80.0,179.0,160.0,185.0
Number of epochs,298,410,338,179,68,340,350,77,170,149,175
