,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 437.5)","(438.5, 625.5)","(626.5, 762.5)","(763.5, 1170.5)","(1171.5, 1330.5)","(1332.5, 1502.5)","(1503.5, 2044.5)","(2045.5, 2345.5)"
"Time length, sec",427.0,187.0,136.0,407.0,159.0,170.0,541.0,300.0
Number of epochs,372,160,114,348,129,152,471,271
