,0,1,2,3,4,5,6
"Start-end time, sec","(5.5, 91.5)","(92.5, 418.5)","(419.5, 769.5)","(770.5, 941.5)","(942.5, 1133.5)","(1134.5, 1275.5)","(1276.5, 1531.5)"
"Time length, sec",86.0,326.0,350.0,171.0,191.0,141.0,255.0
Number of epochs,78,316,330,162,174,125,234
