,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(5.5, 225.5)","(226.5, 338.5)","(339.5, 408.5)","(409.5, 603.5)","(604.5, 988.5)","(990.5, 1137.5)","(1138.5, 1443.5)","(1444.5, 1610.5)","(1612.5, 1946.5)","(1947.5, 2020.5)"
"Time length, sec",220.0,112.0,69.0,194.0,384.0,147.0,305.0,166.0,334.0,73.0
Number of epochs,205,108,69,178,356,140,280,159,311,69
