,0,1,2,3,4,5,6,7,8,9,10
"Start-end time, sec","(5.5, 50.5)","(51.5, 297.5)","(298.5, 758.5)","(759.5, 828.5)","(829.5, 1325.5)","(1326.5, 1652.5)","(1653.5, 1993.5)","(1994.5, 2116.5)","(2119.5, 2173.5)","(2174.5, 2352.5)","(2353.5, 2699.5)"
"Time length, sec",45.0,246.0,460.0,69.0,496.0,326.0,340.0,122.0,54.0,178.0,346.0
Number of epochs,44,235,428,69,474,311,328,119,53,169,324
