,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 193.5)","(194.5, 372.5)","(373.5, 708.5)","(709.5, 1317.5)","(1318.5, 1445.5)","(1446.5, 1886.5)","(1887.5, 2047.5)","(2048.5, 2345.5)"
"Time length, sec",183.0,178.0,335.0,608.0,127.0,440.0,160.0,297.0
Number of epochs,163,153,283,512,114,379,145,268
