,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 61.5)","(62.5, 219.5)","(220.5, 296.5)","(297.5, 697.5)","(698.5, 769.5)","(770.5, 924.5)","(926.5, 1059.5)","(1060.5, 1154.5)","(1155.5, 1238.5)","(1239.5, 1304.5)"
"Time length, sec",53.0,157.0,76.0,400.0,71.0,154.0,133.0,94.0,83.0,65.0
Number of epochs,52,143,67,356,65,144,122,89,79,63
