,0,1,2,3,4,5
"Start-end time, sec","(5.5, 407.5)","(408.5, 622.5)","(623.5, 1097.5)","(1098.5, 1336.5)","(1337.5, 2196.5)","(2197.5, 2346.5)"
"Time length, sec",402.0,214.0,474.0,238.0,859.0,149.0
Number of epochs,384,207,445,224,809,142
