,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 99.5)","(100.5, 223.5)","(224.5, 287.5)","(288.5, 770.5)","(771.5, 946.5)","(947.5, 1004.5)","(1005.5, 1059.5)","(1060.5, 1156.5)","(1161.5, 1238.5)","(1239.5, 1304.5)"
"Time length, sec",91.0,123.0,63.0,482.0,175.0,57.0,54.0,96.0,77.0,65.0
Number of epochs,86,113,54,431,164,52,49,91,77,63
