,0,1,2,3,4,5,6,7,8,9,10,11
"Start-end time, sec","(13.5, 116.5)","(117.5, 603.5)","(604.5, 1296.5)","(1297.5, 1650.5)","(1651.5, 2358.5)","(2359.5, 2808.5)","(2809.5, 3023.5)","(3024.5, 3221.5)","(3222.5, 3532.5)","(3533.5, 3869.5)","(3870.5, 4020.5)","(4021.5, 4996.5)"
"Time length, sec",103.0,486.0,692.0,353.0,707.0,449.0,214.0,197.0,310.0,336.0,150.0,975.0
Number of epochs,98,465,670,334,670,430,207,190,301,328,146,919
