index,name,score
77,channel-0 bd2 all sum,0.1339541010029451
78,channel-0 bd2 all norm-1,0.1339541010029451
79,channel-0 bd2 all norm-2,0.0433197205492462
80,channel-0 bd2 dim-1 max,0.1785257386396037
81,channel-0 bd2 dim-1 mean,0.0737406780326506
82,channel-0 bd2 dim-1 std,0.2197782991623381
83,channel-0 bd2 dim-1 sum,0.1602264441221565
84,channel-0 bd2 dim-1 norm-1,0.1602264441221565
85,channel-0 bd2 dim-1 norm-2,0.2181296511339564
86,channel-0 bd2 dim-2 max,0.0590763434129755
87,channel-0 bd2 dim-2 mean,0.0775494347283475
88,channel-0 bd2 dim-2 std,0.2630858921887939
89,channel-0 bd2 dim-2 sum,-1.0
90,channel-0 bd2 dim-2 norm-1,-1.0
91,channel-0 bd2 dim-2 norm-2,0.0963433012724273
92,channel-1 entropy dim-1,0.238594012968827
93,channel-1 entropy dim-2,0.0287930782092834
94,channel-1 numberofpoints dim-1,0.1777885678158777
95,channel-1 numberofpoints dim-2,0.1296777691215247
96,channel-1 amplitude-bottleneck dim-1,0.2178455886032778
97,channel-1 amplitude-bottleneck dim-2,0.0174254888347731
98,channel-1 amplitude-bottleneck norm-1,0.1839342473102143
99,channel-1 amplitude-bottleneck norm-2,0.2119962096900292
100,channel-1 amplitude-wasserstein-1 dim-1,0.0377959554616551
101,channel-1 amplitude-wasserstein-1 dim-2,0.077000682760088
102,channel-1 amplitude-wasserstein-1 norm-1,0.0631243065892743
103,channel-1 amplitude-wasserstein-1 norm-2,0.0414042667780531
104,channel-1 amplitude-wasserstein-2 dim-1,0.10640483230106
105,channel-1 amplitude-wasserstein-2 dim-2,0.0238221590198364
106,channel-1 amplitude-wasserstein-2 norm-1,0.0367848879843114
107,channel-1 amplitude-wasserstein-2 norm-2,0.1042353967084755
108,channel-1 amplitude-betti-1 dim-1,0.0415304728927226
109,channel-1 amplitude-betti-1 dim-2,0.0769728541268795
110,channel-1 amplitude-betti-1 norm-1,0.0545582055256566
111,channel-1 amplitude-betti-1 norm-2,0.0405742960637622
112,channel-1 amplitude-betti-2 dim-1,0.1854322233144745
113,channel-1 amplitude-betti-2 dim-2,0.1113664574760081
114,channel-1 amplitude-betti-2 norm-1,0.1750635148240822
115,channel-1 amplitude-betti-2 norm-2,0.1798252641954844
116,channel-1 amplitude-landscape-1-1 dim-1,0.3232157049931121
117,channel-1 amplitude-landscape-1-1 dim-2,0.0613615264826944
118,channel-1 amplitude-landscape-1-1 norm-1,0.2894114558388561
119,channel-1 amplitude-landscape-1-1 norm-2,0.3227594229210909
120,channel-1 amplitude-landscape-1-2 dim-1,0.3291923529183527
121,channel-1 amplitude-landscape-1-2 dim-2,0.0419682099187725
122,channel-1 amplitude-landscape-1-2 norm-1,0.403783219716105
123,channel-1 amplitude-landscape-1-2 norm-2,0.3289445420152677
124,channel-1 amplitude-landscape-2-1 dim-1,0.2495490715744229
125,channel-1 amplitude-landscape-2-1 dim-2,0.0098555614776308
126,channel-1 amplitude-landscape-2-1 norm-1,0.2539978585001685
127,channel-1 amplitude-landscape-2-1 norm-2,0.2783514231291227
128,channel-1 amplitude-landscape-2-2 dim-1,0.256064641392726
129,channel-1 amplitude-landscape-2-2 dim-2,0.0102835378167895
130,channel-1 amplitude-landscape-2-2 norm-1,0.2374707267094044
131,channel-1 amplitude-landscape-2-2 norm-2,0.2599228183048611
132,channel-1 amplitude-silhouette-1-1 dim-1,0.3906493063383797
133,channel-1 amplitude-silhouette-1-1 dim-2,-0.0483932779754454
134,channel-1 amplitude-silhouette-1-1 norm-1,0.3828323213595385
