,0,1,2,3,4,5,6,7,8
"Start-end time, sec","(9.9, 118.7)","(119.5, 204.3)","(205.1, 317.1)","(319.5, 508.3)","(509.1, 620.3)","(621.1, 710.7)","(711.5, 758.7)","(759.5, 877.1)","(877.9, 938.7)"
"Time length, sec",108.8,84.80000000000001,112.00000000000003,188.8,111.19999999999993,89.60000000000002,47.200000000000045,117.60000000000002,60.80000000000007
Number of epochs,124,93,124,215,126,106,54,134,70
