,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 80.5)","(81.5, 126.5)","(127.5, 180.5)","(181.5, 242.5)","(243.5, 628.5)","(629.5, 755.5)","(756.5, 965.5)","(967.5, 1112.5)","(1113.5, 1243.5)","(1244.5, 1304.5)"
"Time length, sec",72.0,45.0,53.0,61.0,385.0,126.0,209.0,145.0,130.0,60.0
Number of epochs,67,46,47,55,340,115,195,134,123,58
