num_features,explained_variances_reduced,explained_variances_all,fmi,silh_15,silh_reduced,silh_all
51,0.798103919647344,0.3841380180896559,0.7157675298853335,0.44842857122421265,0.22062198758774704,0.11441808949399773
102,0.7059902194491979,0.4073380617680629,0.0,0.0,0.0,0.0
153,0.6604694032621201,0.42539630583812854,0.0,0.0,0.0,0.0
204,0.6248888868817206,0.4241865350933974,0.0,0.0,0.0,0.0
255,0.6126315598772858,0.4420840781141059,0.0,0.0,0.0,0.0
306,0.6066186311978117,0.4612700097393467,0.0,0.0,0.0,0.0
357,0.5703600548481804,0.4393971129156167,0.0,0.0,0.0,0.0
408,0.5713736992826021,0.46124621594745574,0.0,0.0,0.0,0.0
459,0.5567286061528625,0.4683757195913877,0.0,0.0,0.0,0.0
510,0.5354707187046409,0.45838065286199564,0.0,0.0,0.0,0.0
561,0.5222152915581679,0.46499595020066303,0.0,0.0,0.0,0.0
612,0.5200876449754337,0.4785550669973879,0.8593388235511674,0.5394012331962585,0.15779216678105956,0.1374810007701784
663,0.5045466982980488,0.47831887484058083,0.8273079912406804,0.5235548615455627,0.14609761890768072,0.13254902387449974
714,0.5109890906312967,0.5011399276807901,0.8459071662662822,0.5253632664680481,0.14467510818805504,0.13754202043469593
