,0,1,2,3,4,5,6,7
"Start-end time, sec","(5.5, 111.5)","(112.5, 228.5)","(229.5, 697.5)","(698.5, 803.5)","(804.5, 939.5)","(940.5, 1036.5)","(1037.5, 1154.5)","(1155.5, 1319.5)"
"Time length, sec",106.0,116.0,468.0,105.0,135.0,96.0,117.0,164.0
Number of epochs,103,112,443,104,132,82,117,156
