,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 115.5)","(116.5, 219.5)","(220.5, 301.5)","(302.5, 506.5)","(507.5, 769.5)","(770.5, 919.5)","(920.5, 1059.5)","(1060.5, 1154.5)","(1155.5, 1238.5)","(1239.5, 1304.5)"
"Time length, sec",107.0,103.0,81.0,204.0,262.0,149.0,139.0,94.0,83.0,65.0
Number of epochs,102,93,72,182,234,139,127,89,79,63
