,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 451.5)","(452.5, 624.5)","(625.5, 1138.5)","(1139.5, 1534.5)","(1535.5, 1683.5)","(1684.5, 1962.5)","(1963.5, 2231.5)","(2232.5, 2412.5)","(2413.5, 2772.5)","(2773.5, 3016.5)"
"Time length, sec",443.0,172.0,513.0,395.0,148.0,278.0,268.0,180.0,359.0,243.0
Number of epochs,407,161,483,364,139,259,253,170,355,233
