,0,1,2,3,4,5,6
"Start-end time, sec","(5.5, 164.5)","(165.5, 471.5)","(472.5, 862.5)","(865.5, 1418.5)","(1424.5, 1712.5)","(1713.5, 2145.5)","(2148.5, 2263.5)"
"Time length, sec",159.0,306.0,390.0,553.0,288.0,432.0,115.0
Number of epochs,142,283,355,496,263,400,114
