,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 72.5)","(73.5, 413.5)","(414.5, 608.5)","(609.5, 878.5)","(879.5, 1170.5)","(1171.5, 1380.5)","(1381.5, 2097.5)","(2098.5, 2345.5)"
"Time length, sec",62.0,340.0,194.0,269.0,291.0,209.0,716.0,247.0
Number of epochs,54,296,167,225,252,174,623,226
