,0,1,2,3,4,5,6
"Start-end time, sec","(5.5, 50.5)","(52.5, 415.5)","(416.5, 599.5)","(600.5, 942.5)","(943.5, 1053.5)","(1055.5, 1269.5)","(1270.5, 1531.5)"
"Time length, sec",45.0,363.0,183.0,342.0,110.0,214.0,261.0
Number of epochs,44,347,171,325,98,194,240
