Algorithm,unique_values,score,normalized_score,IV,normalized_iv,QSDA_IDX,IV_IDX,IDX_DIFF
entropy,1617.6901408450703,1.577669388768138,0.24497893909093735,0.5067747832787408,0.2844827419651916,2720.239436619718,1864.225352112676,856.0140845070423
amplitude-bottleneck,1628.6099290780141,1.6458068610496812,0.2565270548812013,0.38878992017080266,0.2125128210280562,2525.531914893617,2259.9078014184397,265.6241134751773
landscape,1395.037558685446,1.6881228256814247,0.2636988744832686,0.3663015951694416,0.19879510394365452,2456.037558685446,2468.5774647887324,-12.539906103286384
amplitude-landscape-2-1,1506.7304964539007,1.83650966530453,0.2888478614993766,0.37870246678470154,0.20635954675599502,2225.531914893617,2344.078014184397,-118.54609929078015
silhouette-2,1395.1267605633802,1.844257610499458,0.2901610033764034,0.2759807426681198,0.14370003121769018,2215.6713615023473,2880.4037558685445,-664.7323943661971
amplitude-landscape-2-2,1506.758865248227,1.866581660954285,0.2939445414345046,0.3943791919226672,0.21592223674022132,2196.049645390071,2277.1560283687945,-81.1063829787234
silhouette-1,1395.1267605633802,1.8942019162655686,0.29862569404864053,0.29449068494877423,0.15499096335422127,2134.631455399061,2781.8638497652582,-647.2323943661971
amplitude-landscape-1-1,1506.723404255319,1.9608170920544639,0.3099158070751451,0.4154509652944538,0.22877586748254222,2037.836879432624,2181.851063829787,-144.01418439716312
amplitude-silhouette-2-2,1506.7659574468084,1.9816066884455272,0.3134392818727549,0.2887089423887598,0.15146414182845971,2003.8936170212767,2771.1205673758864,-767.2269503546099
life,1626.7987421383648,2.0074831562590023,0.3178248928522511,0.5890597615709999,0.334675989014095,2203.6902515723273,1615.2657232704403,588.4245283018868
amplitude-landscape-1-2,1506.7517730496454,2.008121896810873,0.3179331482601192,0.43917368049253924,0.24324655374047732,1962.4893617021276,2093.751773049645,-131.26241134751774
amplitude-silhouette-2-1,1506.7659574468084,2.0414087767176636,0.3235746951298341,0.3122043403401874,0.16579616619504142,1930.2624113475176,2638.0709219858154,-707.8085106382979
amplitude-wasserstein-2,1628.7943262411347,2.118769541217611,0.33668599844289704,0.6348980485276698,0.36263701554973793,2017.77304964539,1407.9219858156027,609.8510638297872
amplitude-silhouette-1-1,1506.7659574468084,2.1856072977764067,0.34801383503644095,0.34035265547152865,0.18296643669544344,1696.4468085106382,2493.8297872340427,-797.3829787234042
amplitude-silhouette-1-2,1506.7659574468084,2.18812240018073,0.34844010112493745,0.3097909002735846,0.1643239850507448,1712.723404255319,2651.5248226950353,-938.8014184397163
amplitude-wasserstein-1,1628.77304964539,2.3568486783317812,0.37703626901472304,0.7471474190418266,0.4311083271090556,1922.0354609929077,1201.049645390071,720.9858156028369
bd2,1626.8522012578617,2.515554626456302,0.4039341653436721,0.8042607029372918,0.4659470209731692,1692.1100628930817,1025.6477987421383,666.4622641509434
