Stat,unique_values,score,normalized_score,IV,normalized_iv,QSDA_IDX,IV_IDX,IDX_DIFF
std,1508.4658823529412,1.7664255471161294,0.2769698231043799,0.38762033942855806,0.2117993851572875,2344.5082352941176,2334.7576470588237,9.750588235294117
max,1511.0658823529411,1.7696633206933645,0.27751856938040953,0.4187159963595967,0.23076751303287565,2372.929411764706,2281.105882352941,91.82352941176471
norm-2,1511.1576470588236,2.122888391373198,0.33738407186603386,0.5479351897826199,0.30959029494946266,2036.6047058823528,1909.3411764705882,127.26352941176471
mean,1511.1458823529413,2.0994921571837897,0.33341881732358436,0.5565780713319102,0.3148623907538404,2024.315294117647,1857.64,166.67529411764707
norm-1,1511.1482352941177,2.2247371882274907,0.3546456705105001,0.5565953464124842,0.3148729284291858,1937.04,1859.6141176470587,77.42588235294117
sum,1511.1482352941177,2.2247371882274907,0.3546456705105001,0.5565953464124842,0.3148729284291858,1936.9082352941177,1859.5670588235294,77.34117647058824
